"time","stage"
0,0
30,0
60,0
90,0
120,0
150,0
180,0
210,0
240,0
270,0
300,0
330,0
360,0
390,0
420,0
450,0
480,0
510,0
540,0
570,0
600,0
630,0
660,0
690,0
720,0
750,0
780,0
810,0
840,0
870,0
900,0
930,0
960,0
990,0
1020,0
1050,0
1080,0
1110,0
1140,0
1170,0
1200,0
1230,0
1260,0
1290,0
1320,0
1350,0
1380,0
1410,0
1440,0
1470,0
1500,0
1530,0
1560,0
1590,0
1620,0
1650,0
1680,0
1710,0
1740,0
1770,0
1800,0
1830,0
1860,0
1890,0
1920,0
1950,0
1980,1.000000000001e-06
2010,1.000000000001e-06
2040,2.000000000002e-06
2070,4.000000000004e-06
2100,7.000000000007e-06
2130,1.1000000000011e-05
2160,1.6000000000016e-05
2190,2.39999999999962e-05
2220,3.60000000000082e-05
2250,5.09999999999955e-05
2280,7.20000000000165e-05
2310,9.90000000000157e-05
2340,0.000133999999999995
2370,0.000178000000000011
2400,0.000233000000000011
2430,0.000300999999999996
2460,0.000382999999999994
2490,0.000481000000000009
2520,0.000596000000000013
2550,0.000728000000000006
2580,0.000878000000000018
2610,0.00104599999999999
2640,0.00123100000000001
2670,0.00143200000000002
2700,0.00164600000000001
2730,0.00187200000000001
2760,0.002107
2790,0.00234999999999999
2820,0.00259700000000002
2850,0.00284700000000002
2880,0.00309899999999999
2910,0.003357
2940,0.00362200000000001
2970,0.00390100000000002
3000,0.00419900000000001
3030,0.004523
3060,0.004881
3090,0.005286
3120,0.005747
3150,0.00626900000000001
3180,0.006855
3210,0.00750300000000001
3240,0.008206
3270,0.008951
3300,0.009718
3330,0.010479
3360,0.011197
3390,0.011836
3420,0.01236
3450,0.012733
3480,0.012921
3510,0.012896
3540,0.012636
3570,0.012133
3600,0.011389
3630,0.01042
3660,0.009254
3690,0.00792000000000001
3720,0.00647200000000001
3750,0.004941
3780,0.00337899999999999
3810,0.00183800000000001
3840,0.000383999999999995
3870,-0.000968999999999998
3900,-0.00217000000000001
3930,-0.00309199999999998
3960,-0.00379399999999999
3990,-0.004216
