x,Curve2
7.8759,-0.0399
8.42781,-1.8768
8.77668,-1.5384
9.04856,-1.245
9.10821,-1.3144
9.30425,-1.8753
9.3656,-1.7113
9.39864,-1.5921
9.48196,-1.4628
9.52916,-1.3038
9.5576,-0.9759
9.59386,-0.7225
9.67407,-0.5337
9.71334,-0.5286
9.92823,-1.0895
10.04767,-0.9453
10.17502,-0.7166
10.28663,-0.5376
10.49697,-0.7955
10.61004,-0.8202
10.7924,-0.507
10.89145,-0.3379
10.96214,-0.3179
11.12855,-0.4716
11.26039,-0.6552
11.42216,-0.6649
11.5651,-0.6547
11.67034,-0.6496
11.81802,-0.5847
12.07557,-0.6588
12.14315,-0.5892
12.30665,-0.3058
12.48569,-0.3254
